"sofifa_id","short_name","age","league_name","overall","potential","player_positions","pace","shooting","passing","dribbling","defending","physic","gk_diving","gk_handling","gk_kicking","gk_reflexes","gk_speed"
158023,"L. Messi",33,"Spain Primera Division",93,93,"RW, ST, CF",85,92,91,95,38,65,NA,NA,NA,NA,NA
20801,"Cristiano Ronaldo",35,"Italian Serie A",92,92,"ST, LW",89,93,81,89,35,77,NA,NA,NA,NA,NA
200389,"J. Oblak",27,"Spain Primera Division",91,93,"GK",NA,NA,NA,NA,NA,NA,87,92,78,90,52
188545,"R. Lewandowski",31,"German 1. Bundesliga",91,91,"ST",78,91,78,85,43,82,NA,NA,NA,NA,NA
190871,"Neymar Jr",28,"French Ligue 1",91,91,"LW, CAM",91,85,86,94,36,59,NA,NA,NA,NA,NA
192985,"K. De Bruyne",29,"English Premier League",91,91,"CAM, CM",76,86,93,88,64,78,NA,NA,NA,NA,NA
231747,"K. Mbappé",21,"French Ligue 1",90,95,"ST, LW, RW",96,86,78,91,39,76,NA,NA,NA,NA,NA
192448,"M. ter Stegen",28,"Spain Primera Division",90,93,"GK",NA,NA,NA,NA,NA,NA,88,85,88,90,45
203376,"V. van Dijk",28,"English Premier League",90,91,"CB",76,60,71,71,91,86,NA,NA,NA,NA,NA
212831,"Alisson",27,"English Premier League",90,91,"GK",NA,NA,NA,NA,NA,NA,86,88,85,89,51
208722,"S. Mané",28,"English Premier League",90,90,"LW",94,85,80,90,44,76,NA,NA,NA,NA,NA
209331,"M. Salah",28,"English Premier League",90,90,"RW",93,86,81,90,45,75,NA,NA,NA,NA,NA
192119,"T. Courtois",28,"Spain Primera Division",89,90,"GK",NA,NA,NA,NA,NA,NA,84,89,74,88,48
153079,"S. Agüero",32,"English Premier League",89,89,"ST",78,90,77,88,33,73,NA,NA,NA,NA,NA
155862,"Sergio Ramos",34,"Spain Primera Division",89,89,"CB",71,70,76,73,88,85,NA,NA,NA,NA,NA
165153,"K. Benzema",32,"Spain Primera Division",89,89,"CF, ST",74,85,81,86,40,76,NA,NA,NA,NA,NA
167495,"M. Neuer",34,"German 1. Bundesliga",89,89,"GK",NA,NA,NA,NA,NA,NA,87,87,91,89,57
200145,"Casemiro",28,"Spain Primera Division",89,89,"CDM",65,73,76,72,86,91,NA,NA,NA,NA,NA
210257,"Ederson",26,"English Premier League",88,91,"GK",NA,NA,NA,NA,NA,NA,86,82,93,88,63
202652,"R. Sterling",25,"English Premier League",88,90,"LW, RW",93,81,79,90,45,67,NA,NA,NA,NA,NA
